season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,12,2,Montel,78,82,12,Randal,0,L,Regular
2020,12,2,Montel,78,82,12,Randal,0,L,Regular
2020,12,1,Tom,159.2,101.74,4,JP,1,W,Regular
2020,12,1,Tom,159.2,101.74,4,JP,1,W,Regular
2020,12,7,Conor,97.58,138.82,3,Tommy,0,L,Regular
2020,12,7,Conor,97.58,138.82,3,Tommy,0,L,Regular
2020,12,12,Randal,82,78,2,Montel,1,W,Regular
2020,12,12,Randal,82,78,2,Montel,1,W,Regular
2020,12,9,Naad,73.4,134.72,11,Logan,0,L,Regular
2020,12,9,Naad,73.4,134.72,11,Logan,0,L,Regular
2020,12,8,Hosta,161.08,117.72,10,Zac,1,W,Regular
2020,12,8,Hosta,161.08,117.72,10,Zac,1,W,Regular
2020,12,5,Patrick,108.46,172.92,6,Aviel,0,L,Regular
2020,12,5,Patrick,108.46,172.92,6,Aviel,0,L,Regular
2020,12,11,Logan,134.72,73.4,9,Naad,1,W,Regular
2020,12,11,Logan,134.72,73.4,9,Naad,1,W,Regular
2020,12,3,Tommy,138.82,97.58,7,Conor,1,W,Regular
2020,12,3,Tommy,138.82,97.58,7,Conor,1,W,Regular
2020,12,10,Zac,117.72,161.08,8,Hosta,0,L,Regular
2020,12,10,Zac,117.72,161.08,8,Hosta,0,L,Regular
2020,13,4,JP,124.6,155.24,10,Zac,0,L,Regular
2020,13,4,JP,124.6,155.24,10,Zac,0,L,Regular
2020,13,6,Aviel,116.54,179.12,12,Randal,0,L,Regular
2020,13,6,Aviel,116.54,179.12,12,Randal,0,L,Regular
2020,13,2,Montel,88.52,106.46,5,Patrick,0,L,Regular
2020,13,2,Montel,88.52,106.46,5,Patrick,0,L,Regular
2020,13,1,Tom,138.02,118.06,11,Logan,1,W,Regular
2020,13,1,Tom,138.02,118.06,11,Logan,1,W,Regular
2020,13,7,Conor,94.92,174.5,8,Hosta,0,L,Regular
2020,13,7,Conor,94.92,174.5,8,Hosta,0,L,Regular
2020,13,12,Randal,179.12,116.54,6,Aviel,1,W,Regular
2020,13,12,Randal,179.12,116.54,6,Aviel,1,W,Regular
2020,13,9,Naad,123.42,117.16,3,Tommy,1,W,Regular
2020,13,9,Naad,123.42,117.16,3,Tommy,1,W,Regular
2020,13,8,Hosta,174.5,94.92,7,Conor,1,W,Regular
2020,13,8,Hosta,174.5,94.92,7,Conor,1,W,Regular
2020,13,5,Patrick,106.46,88.52,2,Montel,1,W,Regular
2020,13,5,Patrick,106.46,88.52,2,Montel,1,W,Regular
2020,13,11,Logan,118.06,138.02,1,Tom,0,L,Regular
2020,13,11,Logan,118.06,138.02,1,Tom,0,L,Regular
2020,13,3,Tommy,117.16,123.42,9,Naad,0,L,Regular
2020,13,3,Tommy,117.16,123.42,9,Naad,0,L,Regular
2020,13,10,Zac,155.24,124.6,4,JP,1,W,Regular
2020,13,10,Zac,155.24,124.6,4,JP,1,W,Regular
2020,14,4,JP,135.2,153.16,1,Tom,0,L,Playoffs
2020,14,4,JP,135.2,153.16,1,Tom,0,L,Playoffs
2020,14,1,Tom,153.16,135.2,4,JP,1,W,Playoffs
2020,14,1,Tom,153.16,135.2,4,JP,1,W,Playoffs
2020,14,8,Hosta,148.82,NA,2,Montel,NA,NA,Playoffs
2020,14,5,Patrick,140.9,123.78,3,Tommy,1,W,Playoffs
2020,14,5,Patrick,140.9,123.78,3,Tommy,1,W,Playoffs
2020,14,3,Tommy,123.78,140.9,5,Patrick,0,L,Playoffs
2020,14,3,Tommy,123.78,140.9,5,Patrick,0,L,Playoffs
2020,14,10,Zac,137.68,NA,2,Montel,NA,NA,Playoffs
2020,15,4,JP,95.02,159.42,3,Tommy,0,L,Playoffs
2020,15,4,JP,95.02,159.42,3,Tommy,0,L,Playoffs
2020,15,1,Tom,132.94,129.06,10,Zac,1,W,Playoffs
2020,15,1,Tom,132.94,129.06,10,Zac,1,W,Playoffs
2020,15,8,Hosta,162.06,154.88,5,Patrick,1,W,Playoffs
2020,15,8,Hosta,162.06,154.88,5,Patrick,1,W,Playoffs
2020,15,5,Patrick,154.88,162.06,8,Hosta,0,L,Playoffs
2020,15,5,Patrick,154.88,162.06,8,Hosta,0,L,Playoffs
2020,15,3,Tommy,159.42,95.02,4,JP,1,W,Playoffs
2020,15,3,Tommy,159.42,95.02,4,JP,1,W,Playoffs
2020,15,10,Zac,129.06,132.94,1,Tom,0,L,Playoffs
2020,15,10,Zac,129.06,132.94,1,Tom,0,L,Playoffs
2020,16,4,JP,144.14,NA,3,Tommy,NA,NA,Playoffs
2020,16,4,JP,NA,119.44,3,Tommy,NA,NA,Playoffs
2020,16,1,Tom,108.58,141.5,8,Hosta,0,L,Playoffs
2020,16,1,Tom,108.58,141.5,8,Hosta,0,L,Playoffs
2020,16,8,Hosta,141.5,108.58,1,Tom,1,W,Playoffs
2020,16,8,Hosta,141.5,108.58,1,Tom,1,W,Playoffs
2020,16,5,Patrick,106.6,136.56,10,Zac,0,L,Playoffs
2020,16,5,Patrick,106.6,136.56,10,Zac,0,L,Playoffs
2020,16,3,Tommy,119.44,NA,4,JP,NA,NA,Playoffs
2020,16,3,Tommy,NA,144.14,4,JP,NA,NA,Playoffs
2020,16,3,Tommy,NA,111.32,7,Conor,NA,NA,Playoffs
2020,16,3,Tommy,NA,137.88,11,Logan,NA,NA,Playoffs
2020,16,10,Zac,136.56,106.6,5,Patrick,1,W,Playoffs
2020,16,10,Zac,136.56,106.6,5,Patrick,1,W,Playoffs
2021,1,1,NA,164.92,112.88,11,NA,1,W,Regular
2021,1,2,NA,125.84,121.72,4,NA,1,W,Regular
2021,1,3,NA,109.98,137.96,9,NA,0,L,Regular
2021,1,4,NA,121.72,125.84,2,NA,0,L,Regular
2021,1,5,NA,153.94,152.56,7,NA,1,W,Regular
2021,1,6,NA,134.16,125.4,8,NA,1,W,Regular
2021,1,7,NA,152.56,153.94,5,NA,0,L,Regular
2021,1,8,NA,125.4,134.16,6,NA,0,L,Regular
2021,1,9,NA,137.96,109.98,3,NA,1,W,Regular
2021,1,10,NA,118.58,162.66,12,NA,0,L,Regular
2021,1,11,NA,112.88,164.92,1,NA,0,L,Regular
2021,1,12,NA,162.66,118.58,10,NA,1,W,Regular
2021,1,11,NA,112.88,164.92,1,NA,0,L,Regular
2021,1,4,NA,121.72,125.84,2,NA,0,L,Regular
2021,1,9,NA,137.96,109.98,3,NA,1,W,Regular
2021,1,2,NA,125.84,121.72,4,NA,1,W,Regular
2021,1,7,NA,152.56,153.94,5,NA,0,L,Regular
2021,1,8,NA,125.4,134.16,6,NA,0,L,Regular
2021,1,5,NA,153.94,152.56,7,NA,1,W,Regular
2021,1,6,NA,134.16,125.4,8,NA,1,W,Regular
2021,1,3,NA,109.98,137.96,9,NA,0,L,Regular
2021,1,12,NA,162.66,118.58,10,NA,1,W,Regular
2021,1,1,NA,164.92,112.88,11,NA,1,W,Regular
2021,1,10,NA,118.58,162.66,12,NA,0,L,Regular
2021,2,1,NA,101.42,150,9,NA,0,L,Regular
2021,2,2,NA,111.52,127.82,10,NA,0,L,Regular
2021,2,3,NA,143.38,153.9,7,NA,0,L,Regular
2021,2,4,NA,136.48,164.46,8,NA,0,L,Regular
2021,2,5,NA,136.08,115.52,11,NA,1,W,Regular
2021,2,6,NA,133.04,144.92,12,NA,0,L,Regular
2021,2,7,NA,153.9,143.38,3,NA,1,W,Regular
2021,2,8,NA,164.46,136.48,4,NA,1,W,Regular
2021,2,9,NA,150,101.42,1,NA,1,W,Regular
2021,2,10,NA,127.82,111.52,2,NA,1,W,Regular
2021,2,11,NA,115.52,136.08,5,NA,0,L,Regular
2021,2,12,NA,144.92,133.04,6,NA,1,W,Regular
2021,2,9,NA,150,101.42,1,NA,1,W,Regular
2021,2,10,NA,127.82,111.52,2,NA,1,W,Regular
2021,2,7,NA,153.9,143.38,3,NA,1,W,Regular
2021,2,8,NA,164.46,136.48,4,NA,1,W,Regular
2021,2,11,NA,115.52,136.08,5,NA,0,L,Regular
2021,2,12,NA,144.92,133.04,6,NA,1,W,Regular
2021,2,3,NA,143.38,153.9,7,NA,0,L,Regular
2021,2,4,NA,136.48,164.46,8,NA,0,L,Regular
2021,2,1,NA,101.42,150,9,NA,0,L,Regular
2021,2,2,NA,111.52,127.82,10,NA,0,L,Regular
2021,2,5,NA,136.08,115.52,11,NA,1,W,Regular
2021,2,6,NA,133.04,144.92,12,NA,0,L,Regular
2021,3,1,NA,124.9,152.28,3,NA,0,L,Regular
2021,3,2,NA,147.72,147.02,8,NA,1,W,Regular
2021,3,3,NA,152.28,124.9,1,NA,1,W,Regular
2021,3,4,NA,121.52,141.92,12,NA,0,L,Regular
2021,3,5,NA,115.52,143.88,9,NA,0,L,Regular
2021,3,6,NA,130.98,151.94,10,NA,0,L,Regular
2021,3,7,NA,88.54,89.06,11,NA,0,L,Regular
2021,3,8,NA,147.02,147.72,2,NA,0,L,Regular
2021,3,9,NA,143.88,115.52,5,NA,1,W,Regular
2021,3,10,NA,151.94,130.98,6,NA,1,W,Regular
2021,3,11,NA,89.06,88.54,7,NA,1,W,Regular
2021,3,12,NA,141.92,121.52,4,NA,1,W,Regular
2021,3,3,NA,152.28,124.9,1,NA,1,W,Regular
2021,3,8,NA,147.02,147.72,2,NA,0,L,Regular
2021,3,1,NA,124.9,152.28,3,NA,0,L,Regular
2021,3,12,NA,141.92,121.52,4,NA,1,W,Regular
2021,3,9,NA,143.88,115.52,5,NA,1,W,Regular
2021,3,10,NA,151.94,130.98,6,NA,1,W,Regular
